s_no,Title,Subtitle,q_title,q_text,q_1,q_2,q_3,pg1pr1,pg1pr2,pg1pr3,pg1pr4,pg1pr5,pg2pr1,pg2pr2,pg2pr3,pg2pr4
1,"WE, HUMANS HAVE A PASSWORD - EMOTION.   ",When logic is spoken. We remain locked. When feelings are spoken. We unlock.,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.","For a moment, forget the words they use. Focus on the point of view. What is the underlying emotional map?  ",Experiment. Insert feelings and needs as valid points of data when resolving a minor conflict.  Observe what happens. ,"Next time. Take time out from a heated conflict and do a feeling check versus a fact check. What is being felt, not what is being said.  ","Surely, we know of a time or many times. When we, or someone around us, used logic to connect with the other. Debate, argue, fight. Back and forth. Many words get used. A few, may get through. But most, keep us locked.  ","Rational reasoning. The logic of the brain. The language of facts, figures, standards, methods, proofs, scores, conclusions. It is easy and exact. Quite tempting to use.  But if we pay attention. Between us, these words backfire. ","Emotional reasoning. The logic of our heart. The language of subjective feelings, relative points of view, and fuzzy heart desires. Quite un-exact and un-easy. But these words work like passwords on us. Revealing. Unlocking. ","We can argue. Don't we all use logic? Yes, we do. When humans say we speak from logic, we mean emotional logic. We say someone is 'logical' when they describe their inner state, underlying philosophies, personal motives, unsaid assumptions, core beliefs, unmet expectations. And. Are willing to listen to ours. Otherwise, they are being illogical. ",,"Emotionally logical is different from rationally logical. Feelings, points of view, heart desire. These are moving targets. Today, it is this. Tomorrow, it is that. So confusing and unpredictable. But that is exactly why it works. With a precise correctness that rational logic simply cannot. ","Because we don't know what is to come, we are forced to listen. And listening meets one of our greatest human need. The need to be heard. Emotionally. And when we honor that, for our own selves and for others, we create common understanding. We learn to use human life as a map, each human with its own emotional map. Their heart map. ",,
2,"WE, HUMANS ACT AS IF 24/7/365 IS BENEFICIAL.   ",Strive. Do. Achieve. That is only half of the secret sauce of humanness.  ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.","Listen for busy-busy calendar talk (dates, events, lists). You will hear burnout - benefits of hustle with no benefits of slowdown. Maybe even a low capacity for life.  ",So many of us want to slow down. Is pat-on-our-back the reason that we do not? Or is it something else? ,Will it help? if we slowed down 24/7/365? If we practiced stop-stop to reason and then chop-chop to resolve? ,"Early on, we are taught to climb, leap, and reach the top. We are applauded, approved, and accepted each time we strive and achieve. For this pat on our back. No wonder we don't resist and surrender to the daily grind.  ","Strive high. Do something. Achieve all. Take on the hustle. Push the limits. Go for it. Full calendar. Chop chop, no stop. We readily subscribe to. Even glorify the 24/7/365 mentality. Believing that burnout is only what happens to others.  ","Yes, hustle is necessary. Yet, how necessary is slowdown? ",Slowdown allows us to experience. The magic of 'two steps backward takes us four steps forward.' The miracle of finding solutions that are easy or half the effort. The serenity to know the things we cannot change. The wisdom to know when it is not-my-circus-not-my-monkeys. The lightness of less worry. And the time we gain from not over-planning. ,"Without slowdown, we burnout. We gain the benefits from hustle; we lose the benefits of slowdown. Half sauce. ","When we slow down, we realize. The grind is just not the same every day. So many moments are unique to the day; we cannot calendar them beforehand. Some are out of human control; we must let them go. Some are drama; to be watched and not to be worried about or handled.  ","Well, then. The true secret sauce for human awesomeness? Make stop-stop a part of chop-chop. We stop-stop to be curious and listen to the day. Then we chop-chop to respond to the day. This is how we prevent burnout and truly thrive. We human, and then we machine. We gain capacity for life and not just competency in it. ",,
3,"WE, HUMANS EACH HAVE A DARK SIDE AND ARE A LIGHT.   ","To err is human. Yet, we salute perfection and shame mishaps. ",Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.","Be intentional; seek both sides. Can you list both, the dark and the light, qualities in you? In others? ","Sometimes. To reconnect with our light, we need a power boost. Who or what can you rely on to be that on-switch? To be your candle, flashlight, star, moon, or sun? ",Sometimes. We need help to become aware of our dark when our light is too bright. Who or what will help you see your blindspots and shadow side?  ,"We are conditioned. To celebrate the bright side of people, the things done well. And to scoff at the dark side, the weak links, the shortcomings, and the sensitivities. We do this to others; because we do it to ourselves. ","By over-emphasizing the light. It would be silly not to recognize that. We are avoiding the dark, getting blinded by the light. This is how we develop blind spots. By over-emphasizing the dark side. Unknowingly, we are giving the shadow side of humanness the size, forms, and power it was never meant to have. This is how we develop alter egos.  ","Both ways, we stick our heads in the sand. We either ignore the dark side. Or live like we are forever bonded with it.  ","When we step out of the either-or mindset. Expect the weak links and the bright side to co-exist in us, in each human. We step into clarity. We are set free from the burden. Of finding, the perfect human. Or being, the perfect human. ",,"We allow the polarity, the two-sidedness, of our humanness.  We expect both. We welcome both. We are incredibly wise when we know. The best time to befriend our dark is when we are a light. And the best time to reconnect with our light is when we are in the dark. Seesawing ourselves back into stability. ","We learn to live alongside, our best selves and our impropah selves. Dividing our time, energy, and attention to both instead of either. We plan for both. We balance both. Our dark side and our light. Finally, both are allowed as us.  ",,
4,"WE, HUMANS ARE NOT MEANT TO BE MEASURED.   ","We are graded, judged, appraised. Poof, we lose our sparkle. ",Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Try giving yourself a penny every time you judge. Each time that you compare or contrast someone. Each time you measure the worth of someone. Include all the times you judge yourself too.  ,"Say it out loud, at least once, to someone 'I'm not judging you today'. Did they smile? Did they shine? ","Try gifting yourself a voucher that says, 'I'm not measuring you today.' Be your kind, non-judging voice.  ","We all feel it, the pit in our stomach when we are being measured. Different causes, same effect - test anxiety, performance pressure, trying to fit in, keeping up with the Joneses, getting the look from special others, that sense of being talked about when you are not around, not feeling good enough, gotta ace it expectations, A-listers mentality, the critics voice inside our heads.  ","For almost all of us, the struggle is real. We have our creative ways to dodge judgment and sidestep its blow. We may goody-two-shoes to cruise below the radar. Or bully up to become the one that gives the blow. Or rebel with serious risks of becoming social outcasts. Dodge, we do.   ","We all yearn. To be ourselves without any compares or contrasts. We all crave.  For a kind, non-judging voice to come into our lives. We all know. We are not meant to be measured. We are meant to be ourselves. We are meant to do our thing. We are meant to shine our light. ",,,Yet we are so far off from where we are meant to be. We still find ourselves tripping over measures and judgments. And we are definitely not the only ones. We are many. ,"Often, those few we admire are those who stayed true to their shine. Not their measure. We can mirror them - own our shine, value our shine, share our shine, celebrate our shine. We can encourage and support others' shine. That may be enough. We all can then be human, human beyond measure.  ",,
5,"WE, HUMANS ARE HEALERS.  ",We heal ourselves. We help others heal. In that order.  ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Set an intention to heal. It is a friend invite that you send to yourself.  ,Start with building a loving-kindness meditation practice.  ,"Set yourself up for success. Learn how to host inner demons. Work with a specialist - coach, therapist, psychiatrist, or healer.  ","We all have inner demons we battle. It is part of being human. We differ from each other in our awareness of demons. Our human journey, simply put, is a success spiral of becoming aware of our demon and healing it. A rinse and repeat cycle, if you will.  ","Look within and around. We will find three categories of people. One, are those who are oblivious to their demons, in denial of their humanness. Two are those who are trapped in their demons, losing their humanness. Three are those who have overcome both and work actively to heal, reclaiming their human power. Who doesn't admire the ones from the last category?  ","If we want to belong to this last category of admired ones to heal, Kindness is not an option. It is a requirement. Kindness is not a fad, not a weakness. Kindness is the protein, the building block, of our humanness. From it stems all the good stuff such as respect, gratitude, humility, surrender, openness, non-judgment, love. These good stuffs are herbal extracts of the healing pill.  ",,,"Our healing is not a to-do, it is a to-be. It is the universe's to-do, to-heal. Our job is to-be, to-human. We create conditions for healing by supposing these four steps of humaning:                                                ","Suppose, we expect our demons to show up as house guests. Suppose, we invite and allow our demons to step in. Suppose, we treat our demons with kindness - kind thoughts as food, kind offers to help, kind ears to their traveler stories, kind reminders of boundaries with house rules and expectations, and when they are ready to leave, we bid them farewell with kindness. Suppose, we heal.  ", ,
6,"WE, HUMANS ARE DESIGNED TO BE INTERDEPENDENT.   ","Jointly, not singley. &and is how we magic.  ",Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.","That is not our intention, right? To come across as an arrogant person or as a meek person?  ",But do we get to see interdependence as often? This dance of flexible give &and receive between two people?  ,"Do you have an interdependency dance partner? Someone with whom you can flexibly move forward, with a little bit of your importance and a little bit of theirs?  ",When a cell in our body acts independently. Defies that it is part of a system/body. Takes over and controls. We call it cancer. By glorifying independence in individuals. Aren't we perpetuating roguish tendencies? The dance of independence. Our dance of arrogance. Dance. Of. I am.  ,When an organism doesn't pull its weight. Becomes overtly dependent on its system/body. We call it a parasite. By enabling dependencies in individuals. Aren't we festering parasitic dependencies? The dance of dependence. Our dance of meekness. Dance. Of. I am not.  ,Less oftenly. We also experience. The dance of interdependence. Dance. Of. I am. &And. Of. I am not.  ,"With a modest view of our own importance, we realize. We are &and we are not. With a modest view of an other's importance, we realize. They are &and they are not. This flexible maneuvering between our importance &and their importance is that dance. The dance of interdependence.  The dance of both, humility &and respect. ",,"We are, is where we give. They are, is where they give. Where we are not, we ask to receive. Where they are not, is where they receive.  ","Maybe we are designed this way. To be interlocking pieces of an acro dance. It feels magical when 'we are' fits what 'they need'. Or vice versa. Then. We give &and we receive. We pause &and we propel. We leap &and we catapult. Flexibly &and magically, we move forward. Always supported, by the strength.  Of one. &And. An other.  ","Interdependently. We jointly build, upon &and together.  ", 
7,"WE, HUMANS ARE MEANT TO BE CURIOUS, NOT KNOW IT ALLS.   ",The more we know. The more we don't know.  ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Think back to your drum-roll moment when you officially became an I-know-it-all. Did you ever return to don't know-learn-don't know?  ,Is it easy to get into an I-don't-know-it-all-but-I'm-curious state of mind before listening and drawing conclusions?    ,Try being even braver. Say I-don't-know-it-all-and-I'm-curious loudly and outwardly when speaking with others.  ,"Our education system and our core curriculum, model this understanding. Their foundational premise is - you don't know, so you learn, then you know which graduates us to the next level of don't know. We accept this model - don't know, learn, don't know until we complete our education.  ","Quite unaware of where when and why. There comes the day in our life. We become know-it-alls. Drum roll, please. It is a moment in time, a moment in life. When our minds get set in stone, becoming as inflexible and as non-porous. We cease to have a beginner's mind. We lose our curiosity. ","What happens then?                                                                 Our listening becomes unengaged; we know it all.                     Our learning is unnecessary, we know it all.                        Our understanding never needs to grow, we know it all.    We lose the desire to improve; we know it all.                              We don't seek help, we know it all.                                         We need no advice, we know it all.                                         We need no upgrades, we know it all.                                    We feel quite superior, after all, we know it all.  ",,,It takes no science to know the losses of know-it-alls. It takes no scientist to know. Realistically. We do not and cannot. Know it all. It takes no great mind to point out the fallacy of believing that we know it all.  ,"We can give up the facade. Turn to curiosity. Pride ourselves.  For starting with a fresh mind. For being a clean slate. For being an amateur. For unlearning and relearning. For once again,  being a curious freshman in the college of humanness.  ",,
8,"WE, HUMANS STRUGGLE WITH - WHO AM I?   ",Is identity crisis a pain or an opportunity? ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Life's changes have brought you to who-am-I several times. Do you want to list all of those times just to see how many times you answered that question?  ,"It can be uncomfortable, not to have a complete answer to who-am-I. What expert advice do you usually give yourself in that situation?   ","Intentionally look for who-am-I moments in your life, the identity-update moments. Embrace the opportunity to add to your who-am-I answers.  ","Who am I? We often answer with the obvious. I am my name, my titles, my roles. Or add a bit more: I am my thoughts, body sensations, feelings, beliefs, stories, and choices. So many layers and lenses to choose from. Let's take a moment to wonder. Why this question? Why so often? Why know thyself? ","Forget momentarily it is because wise ones highly recommend it. Think, for now, only from your point of view. How many times in your life did you land up at who am I? Remember when you failed, you questioned who am I? Remember when you lost a love, who am I without?  Remember when you achieved your goals, who am I now? Remember when you dreamt, who will I be? Every time life's winds changed directions, you arrived at who-am-I.  ",Why? Because the answer to this question re-orients us to the next level. It gives us 'you are here' on the new map. It is our 'start here' on the upcoming board game. It marks the 'door' to the hidden room. It carries within it the 'acorn' blueprint to our life's oak.  ,,,If we listen to wise voices inside. We know to expect life's winds to change and make us question who-am-I. We know to expect that we may not have complete answers at the 'start here' of some of life's new chapters.  ,"If we listen to wise voices inside. We know that fearing who-am-I moments will only keep us stuck. We know that facing who-am-I moments will unlock our freedom and move us forward. We know that we will simply unveil a new layer of who-am-I, not lose who we were. We know that an identity crisis is our opportunity, for an identity update.  ",,
9,"WE, HUMANS ARE NOT EASY TO DEFINE.   ","Who are you? The correct answer is - it depends, all of the above & not 100% sure yet.  ",Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Try loosening up a bit. Breathe a sigh of relief. You have a choice. A choice to not be confined and defined.   ,"Try sharing the relief. If you gave yourself permission, do you want to extend the same to someone else?   ","Try saying out loud your human, lengthy, messy, semi-defined answer to who-are-you. What would you say next time it came up?  ","Who are you? Bit of a trick question. We. All. Certainly know how to dish out a response. Next time, before we rush in to fabricate an answer, we may want to consider the words of a greek philosopher - no man ever steps in the same river twice, for it's not the same river and he's not the same man.   ","Think. How to define with precision, something that is in a state of constant flux? Like the river, we are in flow and flux with many obvious & nonobvious, subjective & objective, body & soul, chemical & biological, quantum & energetic, relational & social, and primate & evolutionary layers of definitions that construct our inner-sense and inter-sense of self. ","Why then do we seek neat answers to who-are-you?            Be-aware. Our rational mind is very helpful, helps us define and classify. What misses our eye is that anything that defines also confines. We are like the river, yet why do we seek for who-are-you to be neatly defined and set in stone? ",,,"Free yourself. Embrace your flux-ish and flow-ish humanness. Feel comfort in answering who-are-you with - it depends, all of the above & not 100% sure yet. It is okay if your answer is lengthy, complicated, and incomplete.  ","We, humans are a work of our past and a work in progress for our future. By not getting too hung up to define our humanness, we choose not to confine our humanness. In this openness of semi-defined, we leave room for the present to leave its mark on us, humans. ",,
10,"WE, HUMANS PLAY GAMES WITH EACH OTHER.   ",Games that systematically un-human us.  ,Achieve results using humanness,"Although there are many books and articles to read on the whys and hows of this human principle, I invite you to have your first-hand experience of how human logic works.",Your human radar knows. Who is playing un-human games with you? Who are you playing games with? ,Are you able to pinpoint the exact ways that you arm-twist others to get what you want? Or the different ways they arm-twist you to get what they want?  ,It is worth a try. To be ungamingly human. Can you openly ask for what you really need - with humanness?  ,"Playing games is omnipresent in our human interactions.  Games are dysfunctional ways we adopt to get what we want when we are unable. To internally articulate and openly ask for what we really need. The more obscure and unclear the ask, the more likely that we game each other.  ","Some games are blatant arm-twisters like abuse, bully, gaslight, lie, threaten. These are the easiest to spot. We know to avoid.  ","Some are subtle arm-twisters - half-truths, shame, belittles, sarcasm, guilt, people-please, play the victim. Their presence is certainly felt. We want to avoid. But we don't know how. So we learn to sidestep, tiptoe, dodge, their discomforts.  ","Some are dressed-up arm-twisters. Like the socially normed and applauded games - stay happy always, put others first, or rise to every occasion even if you are hurt. Their toxic positivity is invisible. We are conditioned to adopt, not avoid, these as yardsticks and follow them blindfolded.  ",,"Some are masterly, covert arm-twisters. Tugs on our basic goodness - 'trust me', 'please do it for me'.  The feel-good factor of these games blinds us. We fold over to their ask. We un-human ourselves. We put aside our needs and cater to their wants. ","Whether unintentional or not, arm-twisting is un-humaning. Our humanness is honored when our needs are met. Being ungamingly human means. Examining the true reasons for our ask. By being clear about what we really need, so that we receive it. And by respecting others' needs as well.  ",,
